	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	74.0	29.31133	178.82250363109998	29.228446676589968	29.394213323410035	0.08288332341003368
taken_down	2.0	5.0	4.93175	0.0675719375	4.930138837825978	4.933361162174022	0.0016111621740222404
area_covered	0.0	0.18	0.06778487500000001	0.0011135681587343751	0.06757804455159858	0.06799170544840144	0.00020683044840143217
mean_distance_travelled	0.0	57.0	18.254628	69.644629381616	18.20290307291137	18.306352927088632	0.051724927088631745
total_distance_covered	0.0	285.0	91.27314	1741.1157345404	91.01451536455684	91.53176463544315	0.25862463544315517
hider_frac_found	0.0	1.0	0.42668200000000006	0.08481967087600002	0.4248768871291877	0.4284871128708124	0.0018051128708123643
all_found	NA	NA	0.06627	NA	0.06473583398562953	0.06782938047382624	NA
