	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	132.0	33.82118	271.5667634076	33.7190403466666	33.923319653333394	0.10213965333339559
taken_down	3.0	6.0	5.84782	0.14984124759999998	5.845420770672111	5.850219229327888	0.002399229327888719
area_covered	0.0	0.2825	0.0757432	0.00130123965376	0.07551961909173893	0.07596678090826106	0.00022358090826106458
mean_distance_travelled	0.0	95.0	23.28951	102.77203840434446	23.226676166539505	23.352343833460495	0.06283383346049476
total_distance_covered	0.0	570.0	139.73706	3699.7933825564005	139.36005699923703	140.114063000763	0.37700300076298277
hider_frac_found	0.0	1.0	0.37542	0.11782482360000002	0.3732924759875814	0.37754752401241853	0.002127524012418558
all_found	NA	NA	0.14211	NA	0.13995130712696327	0.14428947288651647	NA
