	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	401.0	205.82042	12634.301231023597	205.12374265998457	206.51709734001545	0.6966773400154409
taken_down	1.0	5.0	4.93002	0.06996279959999999	4.928380582143127	4.9316594178568725	0.0016394178568726048
area_covered	0.0	0.9975	0.507395	0.07914817185	0.5056512809372524	0.5091387190627477	0.0017437190627476173
mean_distance_travelled	0.0	395.6	133.34325800000002	5874.434947945435	132.868208220545	133.81830777945504	0.4750497794550199
total_distance_covered	0.0	1978.0	666.71629	146860.87369863587	664.3410411027248	669.0915388972751	2.375248897275128
hider_frac_found	0.0	1.0	0.4042075	0.08464817194375	0.402404212953135	0.406010787046865	0.0018032870468649986
all_found	NA	NA	0.06536	NA	0.06383573650658897	0.06690953155085275	NA
