	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	72.0	20.14182	132.10836708760002	20.070580439150447	20.21305956084955	0.07123956084955196
taken_down	0.0	1.0	0.98563	0.014163503099999995	0.984892365174975	0.986367634825025	0.0007376348250249798
area_covered	0.0	0.175	0.0450333	0.00081014539111	0.04485688416923393	0.045209715830766065	0.00017641583076606626
mean_distance_travelled	0.0	70.0	18.17056	133.4779892864	18.098952106326003	18.242167893673994	0.07160789367399545
total_distance_covered	0.0	70.0	18.17056	133.4779892864	18.098952106326003	18.242167893673994	0.07160789367399545
hider_frac_found	0.0	1.0	0.1758625	0.05550800609374999	0.17440222757264356	0.17732277242735645	0.0014602724273564405
all_found	NA	NA	0.01437	NA	0.013641489483129925	0.015126873295028933	NA
