i	steps	all_found	taken_down	frac_area_covered	mean_distance_travelled	total_distance_covered	hider_frac_found
1	59	0	1	0.1425	57.0	57.0	0.0
2	35	0	1	0.0825	33.0	33.0	0.25
3	15	0	1	0.0325	13.0	13.0	0.0
4	15	0	1	0.0325	13.0	13.0	0.25
5	23	0	1	0.0525	21.0	21.0	0.25
6	32	0	1	0.075	30.0	30.0	0.0
7	19	0	1	0.0425	17.0	17.0	0.0
8	24	0	1	0.055	22.0	22.0	0.0
9	37	0	1	0.0875	35.0	35.0	0.25
10	35	0	1	0.0725	33.0	33.0	0.5
11	46	0	1	0.0725	44.0	44.0	0.5
12	16	0	1	0.035	14.0	14.0	0.0
13	26	0	1	0.06	24.0	24.0	0.0
14	34	0	1	0.08	32.0	32.0	0.0
15	17	0	1	0.0375	15.0	15.0	0.0
16	25	0	1	0.0575	23.0	23.0	0.0
17	22	0	1	0.05	20.0	20.0	0.0
18	23	0	1	0.0525	21.0	21.0	0.0
19	16	0	1	0.035	14.0	14.0	0.0
20	47	0	1	0.1125	45.0	45.0	0.25
21	38	0	1	0.09	36.0	36.0	0.0
22	41	0	1	0.0975	39.0	39.0	0.25
23	11	0	1	0.0225	9.0	9.0	0.0
24	37	0	1	0.0875	35.0	35.0	0.0
25	21	0	1	0.0475	19.0	19.0	0.0
26	20	0	1	0.045	18.0	18.0	0.0
27	23	0	1	0.0525	21.0	21.0	0.0
28	23	0	1	0.0525	21.0	21.0	0.0
29	27	0	1	0.0625	25.0	25.0	0.25
30	19	0	1	0.0425	17.0	17.0	0.0
31	11	0	1	0.0225	9.0	9.0	0.0
32	39	0	1	0.0925	37.0	37.0	0.5
33	23	0	1	0.0525	21.0	21.0	0.0
34	22	0	1	0.05	20.0	20.0	0.0
35	37	0	1	0.075	35.0	35.0	0.75
36	29	0	1	0.0675	27.0	27.0	0.25
37	11	0	1	0.0225	9.0	9.0	0.0
38	25	1	0	0.0625	25.0	25.0	1.0
39	30	0	1	0.07	28.0	28.0	0.0
40	63	0	1	0.1525	61.0	61.0	0.5
41	26	0	1	0.06	24.0	24.0	0.0
42	54	0	1	0.1275	52.0	52.0	0.5
43	6	0	1	0.01	4.0	4.0	0.0
44	93	1	0	0.22	93.0	93.0	1.0
45	15	0	1	0.0325	13.0	13.0	0.0
46	26	0	1	0.06	24.0	24.0	0.25
47	30	0	1	0.07	28.0	28.0	0.25
48	6	0	1	0.01	4.0	4.0	0.0
49	46	0	1	0.11	44.0	44.0	0.0
50	53	0	1	0.1275	51.0	51.0	0.5
51	23	0	1	0.0525	21.0	21.0	0.0
52	11	0	1	0.0225	9.0	9.0	0.0
53	37	0	1	0.0875	35.0	35.0	0.25
54	33	0	1	0.0775	31.0	31.0	0.25
55	42	0	1	0.1	40.0	40.0	0.5
56	23	0	1	0.0525	21.0	21.0	0.25
57	17	0	1	0.0375	15.0	15.0	0.25
58	29	0	1	0.0675	27.0	27.0	0.0
59	41	0	1	0.08	39.0	39.0	0.5
60	23	0	1	0.0525	21.0	21.0	0.0
61	7	0	1	0.0125	5.0	5.0	0.0
62	38	0	1	0.09	36.0	36.0	0.0
63	6	0	1	0.01	4.0	4.0	0.0
64	22	0	1	0.05	20.0	20.0	0.0
65	31	0	1	0.07	29.0	29.0	0.5
66	60	0	1	0.145	58.0	58.0	0.75
67	27	0	1	0.0625	25.0	25.0	0.0
68	18	0	1	0.04	16.0	16.0	0.25
69	52	0	1	0.125	50.0	50.0	0.5
70	17	0	1	0.0375	15.0	15.0	0.0
71	24	0	1	0.055	22.0	22.0	0.25
72	50	0	1	0.12	48.0	48.0	0.25
73	13	0	1	0.0275	11.0	11.0	0.0
74	9	0	1	0.0175	7.0	7.0	0.0
75	23	0	1	0.0525	21.0	21.0	0.0
76	23	0	1	0.0525	21.0	21.0	0.25
77	22	0	1	0.05	20.0	20.0	0.0
78	29	0	1	0.0675	27.0	27.0	0.25
79	40	0	1	0.095	38.0	38.0	0.25
80	12	0	1	0.025	10.0	10.0	0.0
81	46	0	1	0.11	44.0	44.0	0.75
82	25	0	1	0.0575	23.0	23.0	0.0
83	20	0	1	0.045	18.0	18.0	0.0
84	24	0	1	0.055	22.0	22.0	0.25
85	7	0	1	0.0125	5.0	5.0	0.0
86	13	0	1	0.0275	11.0	11.0	0.0
87	29	0	1	0.0675	27.0	27.0	0.0
88	45	0	1	0.1075	43.0	43.0	0.0
89	34	0	1	0.08	32.0	32.0	0.25
90	46	0	1	0.11	44.0	44.0	0.25
91	18	0	1	0.04	16.0	16.0	0.0
92	60	0	1	0.1275	58.0	58.0	0.5
93	60	1	0	0.15	60.0	60.0	1.0
94	10	0	1	0.02	8.0	8.0	0.0
95	36	0	1	0.085	34.0	34.0	0.5
96	34	0	1	0.08	32.0	32.0	0.25
97	23	0	1	0.0525	21.0	21.0	0.25
98	8	0	1	0.015	6.0	6.0	0.0
99	24	0	1	0.055	22.0	22.0	0.0
100	56	0	1	0.135	54.0	54.0	0.75
101	38	0	1	0.09	36.0	36.0	0.25
102	58	0	1	0.14	56.0	56.0	0.25
103	21	0	1	0.0475	19.0	19.0	0.0
