lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,25,0,1,0.0575,23.0,23.0,0.0,0
2,17,0,1,0.0375,15.0,15.0,0.0,0
3,74,1,0,0.1825,74.0,74.0,1.0,1
4,77,0,1,0.1825,75.0,75.0,0.5,0
5,29,0,1,0.0675,27.0,27.0,0.5,0
6,28,0,1,0.065,26.0,26.0,0.5,0
7,14,0,1,0.03,12.0,12.0,0.0,0
8,25,0,1,0.0575,23.0,23.0,0.0,0
9,55,0,1,0.1325,53.0,53.0,0.0,0
10,47,0,1,0.1125,45.0,45.0,0.0,0
11,67,1,0,0.165,67.0,67.0,1.0,1
12,37,0,1,0.0875,35.0,35.0,0.0,0
13,8,0,1,0.015,6.0,6.0,0.0,0
14,23,0,1,0.0525,21.0,21.0,0.5,0
15,26,0,1,0.06,24.0,24.0,0.0,0
16,7,0,1,0.0125,5.0,5.0,0.0,0
17,22,0,1,0.05,20.0,20.0,0.0,0
18,26,0,1,0.06,24.0,24.0,0.0,0
19,72,1,0,0.18,72.0,72.0,1.0,1
20,54,0,1,0.13,52.0,52.0,0.5,0
21,29,0,1,0.0675,27.0,27.0,0.5,0
22,88,1,0,0.22,88.0,88.0,1.0,1
23,34,0,1,0.08,32.0,32.0,0.0,0
24,22,0,1,0.05,20.0,20.0,0.0,0
25,67,0,1,0.1475,65.0,65.0,0.5,0
26,68,1,0,0.1675,68.0,68.0,1.0,1
27,46,1,0,0.1125,46.0,46.0,1.0,1
28,25,0,1,0.0575,23.0,23.0,0.0,0
29,24,0,1,0.055,22.0,22.0,0.0,0
30,17,0,1,0.0375,15.0,15.0,0.0,0
31,19,0,1,0.0425,17.0,17.0,0.0,0
32,26,1,0,0.065,26.0,26.0,1.0,1
33,8,0,1,0.015,6.0,6.0,0.0,0
34,79,1,0,0.1675,79.0,79.0,1.0,1
35,51,1,0,0.12,51.0,51.0,1.0,1
36,32,0,1,0.075,30.0,30.0,0.5,0
37,18,0,1,0.04,16.0,16.0,0.0,0
38,65,1,0,0.16,65.0,65.0,1.0,1
39,84,1,0,0.205,84.0,84.0,1.0,1
40,20,0,1,0.045,18.0,18.0,0.0,0
41,120,1,0,0.2775,120.0,120.0,1.0,1
42,40,0,1,0.095,38.0,38.0,0.5,0
43,25,0,1,0.0575,23.0,23.0,0.0,0
44,26,0,1,0.06,24.0,24.0,0.0,0
45,35,0,1,0.0825,33.0,33.0,0.0,0
46,50,0,1,0.12,48.0,48.0,0.0,0
47,55,0,1,0.1,53.0,53.0,0.5,0
48,11,0,1,0.0225,9.0,9.0,0.0,0
49,22,0,1,0.05,20.0,20.0,0.0,0
50,24,0,1,0.055,22.0,22.0,0.0,0
51,59,1,0,0.145,59.0,59.0,1.0,1
