discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,50,0,0,0.1225,49.0,49.0,0.0,0
2,22,1,0,0.055,22.0,22.0,1.0,1
3,19,0,1,0.0425,17.0,17.0,0.0,0
4,44,1,0,0.11,44.0,44.0,1.0,1
5,15,0,1,0.0325,13.0,13.0,0.0,0
6,32,0,1,0.075,30.0,30.0,0.0,0
7,38,1,0,0.095,38.0,38.0,1.0,1
8,58,0,0,0.1425,57.0,57.0,0.0,0
9,32,1,0,0.08,32.0,32.0,1.0,1
10,4,0,1,0.005,2.0,2.0,0.0,0
11,19,1,0,0.0475,19.0,19.0,1.0,1
12,49,1,0,0.1225,49.0,49.0,1.0,1
13,21,1,0,0.0525,21.0,21.0,1.0,1
14,47,0,1,0.1125,45.0,45.0,0.0,0
15,33,0,1,0.0775,31.0,31.0,0.0,0
16,30,1,0,0.075,30.0,30.0,1.0,1
17,10,0,1,0.02,8.0,8.0,0.0,0
18,48,0,0,0.115,47.0,47.0,0.0,0
19,15,0,1,0.0325,13.0,13.0,0.0,0
20,36,0,1,0.085,34.0,34.0,0.0,0
21,34,0,1,0.08,32.0,32.0,0.0,0
22,21,0,1,0.0475,19.0,19.0,0.0,0
23,29,1,0,0.0725,29.0,29.0,1.0,1
24,15,1,0,0.0375,15.0,15.0,1.0,1
25,28,0,1,0.065,26.0,26.0,0.0,0
26,25,1,0,0.0625,25.0,25.0,1.0,1
27,39,0,0,0.095,38.0,38.0,0.0,0
28,10,0,1,0.02,8.0,8.0,0.0,0
29,24,1,0,0.06,24.0,24.0,1.0,1
30,19,0,1,0.0425,17.0,17.0,0.0,0
31,13,1,0,0.0325,13.0,13.0,1.0,1
32,13,0,1,0.0275,11.0,11.0,0.0,0
33,43,1,0,0.1075,43.0,43.0,1.0,1
34,51,0,0,0.12,50.0,50.0,0.0,0
35,5,0,1,0.0075,3.0,3.0,0.0,0
36,26,1,0,0.055,26.0,26.0,1.0,1
37,10,0,1,0.02,8.0,8.0,0.0,0
38,14,0,1,0.03,12.0,12.0,0.0,0
39,16,0,1,0.035,14.0,14.0,0.0,0
40,4,0,1,0.005,2.0,2.0,0.0,0
41,24,0,1,0.055,22.0,22.0,0.0,0
42,9,1,0,0.0225,9.0,9.0,1.0,1
43,3,0,1,0.0025,1.0,1.0,0.0,0
44,17,1,0,0.0425,17.0,17.0,1.0,1
45,15,1,0,0.0375,15.0,15.0,1.0,1
46,24,1,0,0.06,24.0,24.0,1.0,1
47,30,0,1,0.07,28.0,28.0,0.0,0
48,50,0,1,0.12,48.0,48.0,0.0,0
49,21,0,1,0.0475,19.0,19.0,0.0,0
50,14,1,0,0.035,14.0,14.0,1.0,1
51,16,0,1,0.035,14.0,14.0,0.0,0
52,39,0,1,0.0925,37.0,37.0,0.0,0
53,10,1,0,0.025,10.0,10.0,1.0,1
54,18,0,1,0.04,16.0,16.0,0.0,0
55,19,1,0,0.0475,19.0,19.0,1.0,1
56,25,1,0,0.0625,25.0,25.0,1.0,1
57,12,0,1,0.025,10.0,10.0,0.0,0
58,8,1,0,0.02,8.0,8.0,1.0,1
59,8,0,1,0.015,6.0,6.0,0.0,0
60,18,0,1,0.04,16.0,16.0,0.0,0
61,17,0,1,0.0375,15.0,15.0,0.0,0
62,11,1,0,0.0275,11.0,11.0,1.0,1
63,16,1,0,0.04,16.0,16.0,1.0,1
64,19,1,0,0.0475,19.0,19.0,1.0,1
65,9,0,1,0.0175,7.0,7.0,0.0,0
