traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,37,1,2,0.12,17.4,87.0,1.0,1
2,21,1,0,0.1175,12.6,63.0,1.0,1
3,117,0,3,0.245,28.8,144.0,0.0,0
4,46,0,3,0.175,20.0,100.0,0.0,0
5,53,0,3,0.185,18.0,90.0,0.0,0
6,26,1,1,0.1025,11.6,58.0,1.0,1
7,22,1,0,0.145,13.2,66.0,1.0,1
8,84,0,3,0.2375,30.4,152.0,0.0,0
9,48,1,2,0.155,14.4,72.0,1.0,1
10,19,1,0,0.09,11.4,57.0,1.0,1
11,42,0,3,0.1275,13.0,65.0,0.0,0
12,24,1,0,0.13,14.4,72.0,1.0,1
13,40,0,3,0.1225,19.2,96.0,0.0,0
14,36,1,2,0.1725,19.2,96.0,1.0,1
15,19,1,1,0.0875,9.6,48.0,1.0,1
16,26,1,1,0.1375,15.0,75.0,1.0,1
17,3,1,0,0.01,1.8,9.0,1.0,1
18,31,1,1,0.1275,15.4,77.0,1.0,1
19,8,1,0,0.0325,4.8,24.0,1.0,1
20,41,1,2,0.16,21.0,105.0,1.0,1
21,5,1,0,0.0175,3.0,15.0,1.0,1
22,15,1,1,0.0675,7.0,35.0,1.0,1
23,60,0,3,0.1475,17.8,89.0,0.0,0
24,15,1,1,0.09,8.8,44.0,1.0,1
25,18,1,1,0.07,10.6,53.0,1.0,1
26,30,0,3,0.1025,11.8,59.0,0.0,0
27,68,0,3,0.1975,26.6,133.0,0.0,0
28,26,1,0,0.1475,15.6,78.0,1.0,1
29,62,0,3,0.1975,19.6,98.0,0.0,0
30,32,1,1,0.145,17.0,85.0,1.0,1
31,27,1,1,0.1325,14.6,73.0,1.0,1
32,84,0,3,0.26,32.0,160.0,0.0,0
33,29,1,0,0.1475,17.4,87.0,1.0,1
34,75,0,3,0.295,29.8,149.0,0.0,0
35,32,1,0,0.1925,19.2,96.0,1.0,1
36,25,1,0,0.1125,15.0,75.0,1.0,1
37,8,1,1,0.03,4.6,23.0,1.0,1
38,11,1,0,0.0725,6.6,33.0,1.0,1
39,30,1,2,0.095,14.0,70.0,1.0,1
40,81,1,2,0.2125,27.8,139.0,1.0,1
41,17,1,2,0.075,7.0,35.0,1.0,1
42,75,0,3,0.2,22.2,111.0,0.0,0
43,22,1,0,0.1375,13.2,66.0,1.0,1
44,45,0,3,0.1125,11.0,55.0,0.0,0
45,22,1,0,0.1075,13.2,66.0,1.0,1
46,101,1,2,0.24,32.8,164.0,1.0,1
47,24,1,0,0.1325,14.4,72.0,1.0,1
48,12,1,0,0.0675,7.2,36.0,1.0,1
49,15,1,1,0.095,8.8,44.0,1.0,1
50,19,1,0,0.1025,11.4,57.0,1.0,1
51,21,1,0,0.105,12.6,63.0,1.0,1
52,11,1,0,0.06,6.6,33.0,1.0,1
53,30,1,0,0.18,18.0,90.0,1.0,1
54,21,1,0,0.105,12.6,63.0,1.0,1
55,50,1,2,0.13,20.8,104.0,1.0,1
56,25,1,1,0.13,13.6,68.0,1.0,1
57,13,1,0,0.0675,7.8,39.0,1.0,1
58,25,0,3,0.095,9.6,48.0,0.0,0
59,20,1,1,0.11,11.2,56.0,1.0,1
60,36,0,3,0.1675,18.0,90.0,0.0,0
61,59,1,2,0.1525,16.6,83.0,1.0,1
62,21,1,0,0.095,12.6,63.0,1.0,1
63,15,1,0,0.08,9.0,45.0,1.0,1
64,24,1,0,0.15,14.4,72.0,1.0,1
65,51,0,3,0.2175,24.6,123.0,0.0,0
66,106,0,3,0.275,29.2,146.0,0.0,0
67,33,1,1,0.1825,18.6,93.0,1.0,1
68,23,0,3,0.075,8.0,40.0,0.0,0
