traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,18,0,1,0.04,16.0,16.0,0.0,0
2,26,0,1,0.06,24.0,24.0,0.0,0
3,25,0,1,0.0575,23.0,23.0,0.0,0
4,11,0,1,0.0225,9.0,9.0,0.0,0
5,21,0,1,0.0475,19.0,19.0,0.0,0
6,36,1,0,0.09,36.0,36.0,1.0,1
7,29,0,1,0.0675,27.0,27.0,0.0,0
8,26,0,1,0.06,24.0,24.0,0.0,0
9,14,0,1,0.03,12.0,12.0,0.0,0
10,52,1,0,0.13,52.0,52.0,1.0,1
11,11,0,1,0.0225,9.0,9.0,0.0,0
12,21,1,0,0.0525,21.0,21.0,1.0,1
13,22,0,1,0.05,20.0,20.0,0.0,0
14,14,1,0,0.035,14.0,14.0,1.0,1
15,27,1,0,0.0675,27.0,27.0,1.0,1
16,25,1,0,0.0625,25.0,25.0,1.0,1
17,55,0,1,0.1325,53.0,53.0,0.0,0
18,24,1,0,0.06,24.0,24.0,1.0,1
19,10,1,0,0.025,10.0,10.0,1.0,1
20,13,0,1,0.0275,11.0,11.0,0.0,0
21,32,0,1,0.075,30.0,30.0,0.0,0
22,48,1,0,0.1075,48.0,48.0,1.0,1
23,21,0,1,0.0475,19.0,19.0,0.0,0
24,4,0,1,0.005,2.0,2.0,0.0,0
25,21,1,0,0.0525,21.0,21.0,1.0,1
26,16,0,1,0.035,14.0,14.0,0.0,0
27,21,0,1,0.0475,19.0,19.0,0.0,0
28,4,1,0,0.01,4.0,4.0,1.0,1
29,14,1,0,0.035,14.0,14.0,1.0,1
30,16,0,1,0.035,14.0,14.0,0.0,0
31,15,0,1,0.0325,13.0,13.0,0.0,0
32,21,0,1,0.0475,19.0,19.0,0.0,0
33,37,1,0,0.0925,37.0,37.0,1.0,1
34,19,0,1,0.0425,17.0,17.0,0.0,0
35,32,1,0,0.08,32.0,32.0,1.0,1
36,36,0,1,0.085,34.0,34.0,0.0,0
37,49,1,0,0.1225,49.0,49.0,1.0,1
38,9,1,0,0.0225,9.0,9.0,1.0,1
39,26,1,0,0.065,26.0,26.0,1.0,1
40,31,1,0,0.0775,31.0,31.0,1.0,1
41,25,1,0,0.0625,25.0,25.0,1.0,1
42,28,0,1,0.065,26.0,26.0,0.0,0
43,20,0,1,0.045,18.0,18.0,0.0,0
44,21,0,1,0.0475,19.0,19.0,0.0,0
45,62,0,1,0.1475,60.0,60.0,0.0,0
46,13,1,0,0.0325,13.0,13.0,1.0,1
47,17,0,1,0.0375,15.0,15.0,0.0,0
48,19,0,1,0.0425,17.0,17.0,0.0,0
49,22,0,1,0.05,20.0,20.0,0.0,0
50,28,1,0,0.07,28.0,28.0,1.0,1
51,7,0,1,0.0125,5.0,5.0,0.0,0
52,17,1,0,0.0425,17.0,17.0,1.0,1
53,32,1,0,0.08,32.0,32.0,1.0,1
54,11,0,1,0.0225,9.0,9.0,0.0,0
55,26,0,1,0.06,24.0,24.0,0.0,0
56,35,0,1,0.0825,33.0,33.0,0.0,0
57,18,0,1,0.04,16.0,16.0,0.0,0
58,27,1,0,0.0675,27.0,27.0,1.0,1
59,39,0,1,0.0925,37.0,37.0,0.0,0
60,29,0,1,0.0675,27.0,27.0,0.0,0
61,35,0,1,0.0825,33.0,33.0,0.0,0
62,13,0,1,0.0275,11.0,11.0,0.0,0
63,59,0,1,0.14,57.0,57.0,0.0,0
64,13,0,1,0.0275,11.0,11.0,0.0,0
65,17,0,1,0.0375,15.0,15.0,0.0,0
66,29,0,1,0.0675,27.0,27.0,0.0,0
67,33,0,1,0.0775,31.0,31.0,0.0,0
68,15,0,1,0.0325,13.0,13.0,0.0,0
69,38,0,1,0.09,36.0,36.0,0.0,0
70,9,0,1,0.0175,7.0,7.0,0.0,0
71,10,1,0,0.025,10.0,10.0,1.0,1
72,23,0,1,0.0525,21.0,21.0,0.0,0
73,81,1,0,0.195,81.0,81.0,1.0,1
74,23,0,1,0.0425,21.0,21.0,0.0,0
75,34,0,1,0.08,32.0,32.0,0.0,0
76,17,0,1,0.0375,15.0,15.0,0.0,0
77,22,0,1,0.05,20.0,20.0,0.0,0
78,19,0,1,0.0425,17.0,17.0,0.0,0
79,28,0,1,0.065,26.0,26.0,0.0,0
80,34,0,1,0.08,32.0,32.0,0.0,0
81,29,1,0,0.0725,29.0,29.0,1.0,1
82,12,0,1,0.025,10.0,10.0,0.0,0
83,18,0,1,0.04,16.0,16.0,0.0,0
84,32,0,1,0.075,30.0,30.0,0.0,0
85,29,0,1,0.0675,27.0,27.0,0.0,0
86,50,0,1,0.12,48.0,48.0,0.0,0
87,23,0,1,0.0525,21.0,21.0,0.0,0
88,41,0,1,0.0975,39.0,39.0,0.0,0
89,30,1,0,0.075,30.0,30.0,1.0,1
90,4,0,1,0.005,2.0,2.0,0.0,0
91,23,0,1,0.0525,21.0,21.0,0.0,0
92,21,1,0,0.0525,21.0,21.0,1.0,1
93,7,0,1,0.0125,5.0,5.0,0.0,0
94,81,0,1,0.195,79.0,79.0,0.0,0
95,57,0,1,0.1375,55.0,55.0,0.0,0
96,14,0,1,0.03,12.0,12.0,0.0,0
97,80,1,0,0.1975,80.0,80.0,1.0,1
98,9,0,1,0.0175,7.0,7.0,0.0,0
99,67,0,1,0.15,65.0,65.0,0.0,0
100,26,0,1,0.06,24.0,24.0,0.0,0
101,34,0,1,0.08,32.0,32.0,0.0,0
102,21,1,0,0.0525,21.0,21.0,1.0,1
103,17,1,0,0.0425,17.0,17.0,1.0,1
104,21,0,1,0.0475,19.0,19.0,0.0,0
105,30,0,1,0.07,28.0,28.0,0.0,0
106,33,0,1,0.0775,31.0,31.0,0.0,0
107,18,0,1,0.04,16.0,16.0,0.0,0
108,28,1,0,0.07,28.0,28.0,1.0,1
109,40,0,1,0.095,38.0,38.0,0.0,0
110,4,0,1,0.005,2.0,2.0,0.0,0
111,39,0,1,0.0925,37.0,37.0,0.0,0
112,10,0,1,0.02,8.0,8.0,0.0,0
113,15,1,0,0.0375,15.0,15.0,1.0,1
114,8,1,0,0.02,8.0,8.0,1.0,1
115,14,0,1,0.03,12.0,12.0,0.0,0
116,20,0,1,0.045,18.0,18.0,0.0,0
117,16,0,1,0.035,14.0,14.0,0.0,0
118,26,1,0,0.065,26.0,26.0,1.0,1
119,22,1,0,0.055,22.0,22.0,1.0,1
120,19,0,1,0.0425,17.0,17.0,0.0,0
121,31,0,1,0.0725,29.0,29.0,0.0,0
122,39,1,0,0.095,39.0,39.0,1.0,1
123,47,1,0,0.1175,47.0,47.0,1.0,1
124,80,1,0,0.195,80.0,80.0,1.0,1
125,10,0,1,0.02,8.0,8.0,0.0,0
126,22,1,0,0.055,22.0,22.0,1.0,1
127,25,0,1,0.0575,23.0,23.0,0.0,0
128,38,1,0,0.095,38.0,38.0,1.0,1
129,14,0,1,0.03,12.0,12.0,0.0,0
130,21,1,0,0.0525,21.0,21.0,1.0,1
131,16,0,1,0.035,14.0,14.0,0.0,0
132,33,0,1,0.0775,31.0,31.0,0.0,0
133,36,0,1,0.085,34.0,34.0,0.0,0
134,40,1,0,0.1,40.0,40.0,1.0,1
135,20,0,1,0.045,18.0,18.0,0.0,0
136,20,0,1,0.045,18.0,18.0,0.0,0
137,11,0,1,0.0225,9.0,9.0,0.0,0
138,6,1,0,0.015,6.0,6.0,1.0,1
139,20,0,1,0.045,18.0,18.0,0.0,0
140,10,1,0,0.025,10.0,10.0,1.0,1
141,11,0,1,0.0225,9.0,9.0,0.0,0
