traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
111,32,1,1,0.085,18.6,93.0,1.0,1
112,45,1,1,0.165,25.2,126.0,1.0,1
113,51,0,3,0.15,20.8,104.0,0.6666666666666666,0
114,33,0,3,0.115,14.2,71.0,0.6666666666666666,0
115,22,0,3,0.0575,5.4,27.0,0.3333333333333333,0
116,33,0,3,0.0775,12.6,63.0,0.3333333333333333,0
117,29,0,3,0.0675,16.2,81.0,0.0,0
118,47,1,1,0.12,20.0,100.0,1.0,1
119,15,0,3,0.0325,7.8,39.0,0.0,0
120,69,1,2,0.1925,28.2,141.0,1.0,1
121,27,0,3,0.0625,15.0,75.0,0.0,0
122,44,0,3,0.1025,14.4,72.0,0.6666666666666666,0
123,63,0,3,0.13,16.6,83.0,0.6666666666666666,0
124,40,1,2,0.1125,14.6,73.0,1.0,1
125,14,0,3,0.03,7.2,36.0,0.0,0
126,53,1,0,0.1775,31.8,159.0,1.0,1
127,32,1,1,0.1025,19.0,95.0,1.0,1
128,56,0,3,0.1325,16.4,82.0,0.6666666666666666,0
129,35,1,0,0.1475,21.0,105.0,1.0,1
130,62,0,3,0.185,22.4,112.0,0.6666666666666666,0
131,43,0,3,0.135,16.8,84.0,0.6666666666666666,0
132,35,0,3,0.095,15.4,77.0,0.3333333333333333,0
133,56,0,3,0.18,22.2,111.0,0.3333333333333333,0
134,26,1,1,0.0775,12.2,61.0,1.0,1
135,42,0,3,0.15,22.0,110.0,0.6666666666666666,0
136,20,0,3,0.045,10.8,54.0,0.0,0
137,50,0,3,0.1725,23.0,115.0,0.6666666666666666,0
138,16,0,3,0.035,8.4,42.0,0.0,0
139,33,1,1,0.105,17.4,87.0,1.0,1
140,44,0,3,0.135,14.0,70.0,0.3333333333333333,0
141,49,1,2,0.1275,26.6,133.0,1.0,1
142,45,0,3,0.1825,19.6,98.0,0.6666666666666666,0
143,63,0,3,0.15,18.6,93.0,0.6666666666666666,0
144,34,1,1,0.165,19.4,97.0,1.0,1
145,36,1,2,0.1075,16.8,84.0,1.0,1
146,25,0,3,0.0625,10.2,51.0,0.3333333333333333,0
147,30,1,0,0.11,18.0,90.0,1.0,1
148,38,0,3,0.13,15.2,76.0,0.6666666666666666,0
149,39,1,1,0.1,18.6,93.0,1.0,1
150,51,0,3,0.14,21.2,106.0,0.6666666666666666,0
151,43,1,1,0.1925,18.0,90.0,1.0,1
152,24,0,3,0.1,10.4,52.0,0.3333333333333333,0
153,52,1,2,0.1625,17.6,88.0,1.0,1
154,38,0,3,0.0975,14.4,72.0,0.6666666666666666,0
155,39,0,3,0.0925,19.6,98.0,0.3333333333333333,0
156,37,0,3,0.0875,15.4,77.0,0.3333333333333333,0
157,54,1,2,0.2075,28.4,142.0,1.0,1
158,30,1,0,0.135,18.0,90.0,1.0,1
159,72,1,2,0.1875,35.8,179.0,1.0,1
160,19,0,3,0.0725,9.6,48.0,0.0,0
161,40,0,3,0.1325,19.6,98.0,0.3333333333333333,0
162,24,1,1,0.0475,14.2,71.0,1.0,1
163,58,1,2,0.185,25.2,126.0,1.0,1
164,30,1,1,0.1125,15.4,77.0,1.0,1
165,25,1,2,0.0625,5.4,27.0,1.0,1
166,47,0,3,0.12,11.8,59.0,0.0,0
167,58,1,2,0.1325,17.8,89.0,1.0,1
168,39,0,3,0.1275,16.0,80.0,0.0,0
169,37,1,0,0.1475,22.2,111.0,1.0,1
170,43,0,3,0.12,11.8,59.0,0.3333333333333333,0
171,18,0,3,0.04,9.6,48.0,0.0,0
172,47,0,3,0.1275,22.2,111.0,0.6666666666666666,0
173,82,1,2,0.275,34.4,172.0,1.0,1
174,23,0,3,0.0525,7.8,39.0,0.3333333333333333,0
175,28,1,0,0.135,16.8,84.0,1.0,1
176,9,0,3,0.0175,3.0,15.0,0.3333333333333333,0
177,37,1,2,0.0975,11.6,58.0,1.0,1
178,24,0,3,0.085,13.2,66.0,0.0,0
179,58,0,3,0.1575,26.4,132.0,0.3333333333333333,0
180,11,0,3,0.035,4.2,21.0,0.0,0
181,53,1,2,0.155,18.4,92.0,1.0,1
182,39,0,3,0.135,17.8,89.0,0.6666666666666666,0
183,50,0,3,0.13,24.4,122.0,0.3333333333333333,0
184,36,0,3,0.1425,16.4,82.0,0.3333333333333333,0
185,67,0,3,0.1625,22.2,111.0,0.6666666666666666,0
186,62,0,3,0.15,19.8,99.0,0.6666666666666666,0
187,42,1,0,0.1925,25.2,126.0,1.0,1
188,30,0,3,0.08,13.6,68.0,0.6666666666666666,0
189,124,1,2,0.25,43.2,216.0,1.0,1
190,37,0,3,0.1075,9.4,47.0,0.3333333333333333,0
191,30,1,2,0.075,16.8,84.0,1.0,1
192,60,0,3,0.1425,23.2,116.0,0.6666666666666666,0
193,53,1,1,0.1875,25.2,126.0,1.0,1
194,31,1,0,0.14,18.6,93.0,1.0,1
195,39,1,2,0.1375,20.6,103.0,1.0,1
196,73,0,3,0.1875,23.0,115.0,0.6666666666666666,0
197,26,1,0,0.0925,15.6,78.0,1.0,1
198,66,1,2,0.23,24.8,124.0,1.0,1
199,27,0,3,0.0625,14.2,71.0,0.3333333333333333,0
200,46,1,1,0.17,22.8,114.0,1.0,1
201,3,0,3,0.0025,0.6,3.0,0.0,0
202,53,0,3,0.1275,26.6,133.0,0.3333333333333333,0
203,52,1,2,0.185,24.2,121.0,1.0,1
204,49,1,1,0.165,23.2,116.0,1.0,1
205,67,1,1,0.2575,34.2,171.0,1.0,1
206,37,0,3,0.12,13.4,67.0,0.6666666666666666,0
207,56,1,1,0.165,29.2,146.0,1.0,1
208,50,0,3,0.13,18.2,91.0,0.6666666666666666,0
209,50,0,3,0.125,20.6,103.0,0.6666666666666666,0
210,28,0,3,0.105,14.0,70.0,0.6666666666666666,0
211,58,1,2,0.1975,27.6,138.0,1.0,1
212,37,0,3,0.1025,11.0,55.0,0.3333333333333333,0
213,69,0,3,0.19,26.8,134.0,0.6666666666666666,0
214,32,0,3,0.075,15.8,79.0,0.3333333333333333,0
215,54,0,3,0.1275,17.6,88.0,0.3333333333333333,0
216,52,0,3,0.125,15.0,75.0,0.3333333333333333,0
217,31,1,0,0.11,18.6,93.0,1.0,1
218,58,0,3,0.185,23.4,117.0,0.3333333333333333,0
219,53,1,2,0.2025,21.6,108.0,1.0,1
220,28,0,3,0.065,10.8,54.0,0.0,0
221,8,0,3,0.015,3.6,18.0,0.0,0
222,19,0,3,0.0425,10.2,51.0,0.0,0
223,45,1,1,0.1725,23.0,115.0,1.0,1
224,43,0,3,0.1475,13.4,67.0,0.6666666666666666,0
225,86,1,2,0.2225,26.2,131.0,1.0,1
226,64,1,2,0.2075,25.6,128.0,1.0,1
227,66,0,3,0.2225,23.4,117.0,0.6666666666666666,0
