traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
1,16,0,1,0.035,14.0,14.0,0.0,0
2,47,0,1,0.1125,45.0,45.0,0.0,0
3,64,1,0,0.16,64.0,64.0,1.0,1
4,34,1,0,0.085,34.0,34.0,1.0,1
5,31,0,1,0.0725,29.0,29.0,0.0,0
6,38,0,1,0.09,36.0,36.0,0.0,0
7,51,0,1,0.1225,49.0,49.0,0.0,0
8,33,0,1,0.0775,31.0,31.0,0.0,0
9,17,0,1,0.0375,15.0,15.0,0.0,0
10,16,0,1,0.035,14.0,14.0,0.0,0
11,42,0,1,0.1,40.0,40.0,0.0,0
12,75,1,0,0.1675,75.0,75.0,1.0,1
13,77,1,0,0.19,77.0,77.0,1.0,1
14,33,1,0,0.0825,33.0,33.0,1.0,1
15,51,1,0,0.1275,51.0,51.0,1.0,1
16,34,0,1,0.08,32.0,32.0,0.0,0
17,38,1,0,0.095,38.0,38.0,1.0,1
18,13,0,1,0.0275,11.0,11.0,0.0,0
19,28,0,1,0.065,26.0,26.0,0.0,0
20,31,0,1,0.0725,29.0,29.0,0.0,0
21,16,0,1,0.035,14.0,14.0,0.0,0
22,6,1,0,0.015,6.0,6.0,1.0,1
23,54,0,1,0.13,52.0,52.0,0.0,0
24,37,0,1,0.0875,35.0,35.0,0.0,0
25,19,0,1,0.0425,17.0,17.0,0.0,0
26,65,0,1,0.1525,63.0,63.0,0.0,0
27,39,1,0,0.0975,39.0,39.0,1.0,1
28,16,1,0,0.04,16.0,16.0,1.0,1
29,18,1,0,0.045,18.0,18.0,1.0,1
30,74,0,1,0.1775,72.0,72.0,0.0,0
31,23,0,1,0.0525,21.0,21.0,0.0,0
32,11,1,0,0.0275,11.0,11.0,1.0,1
33,26,1,0,0.065,26.0,26.0,1.0,1
34,35,1,0,0.0875,35.0,35.0,1.0,1
35,13,0,1,0.0275,11.0,11.0,0.0,0
36,29,0,1,0.0675,27.0,27.0,0.0,0
37,11,1,0,0.0275,11.0,11.0,1.0,1
38,9,0,1,0.0175,7.0,7.0,0.0,0
39,38,0,1,0.09,36.0,36.0,0.0,0
40,18,0,1,0.04,16.0,16.0,0.0,0
41,33,1,0,0.0825,33.0,33.0,1.0,1
42,6,0,1,0.01,4.0,4.0,0.0,0
43,50,0,1,0.12,48.0,48.0,0.0,0
44,23,0,1,0.0525,21.0,21.0,0.0,0
45,51,0,1,0.1225,49.0,49.0,0.0,0
46,21,1,0,0.0525,21.0,21.0,1.0,1
47,28,0,1,0.065,26.0,26.0,0.0,0
48,61,1,0,0.15,61.0,61.0,1.0,1
