	min	max	mean	var	ci_lower	ci_upper	Half_width
find_steps	1.0	73.0	27.57217	192.71005149110002	27.486128444120983	27.658211555879017	0.0860415558790173
taken_down	0.0	10.0	6.30739	6.9073613879	6.2911003347156065	6.323679665284393	0.01628966528439335
area_covered	0.0	0.1825	0.06765485	0.0011530995214774997	0.06744438035559236	0.06786531964440765	0.00021046964440764315
mean_distance_travelled	0.0	64.8	20.627178999999998	95.51539120195899	20.566604093739944	20.687753906260053	0.06057490626005446
total_distance_covered	0.0	648.0	206.27179	9551.539120195901	205.66604093739946	206.87753906260056	0.6057490626005517
hider_frac_found	0.0	1.0	0.90188	0.0884924656	0.9000362194928654	0.9037237805071346	0.0018437805071346292
all_found	NA	NA	0.90188	NA	0.9000195807202827	0.9037170727335835	NA
