filename,tactic,grid_width,hide_strategy,swarm_size,n_hider_candidates,n_hiders,runs,find_steps_min,find_steps_max,find_steps_mean,find_steps_var,find_steps_ci_lower,find_steps_ci_upper,find_steps_half_width,taken_down_min,taken_down_max,taken_down_mean,taken_down_var,taken_down_ci_lower,taken_down_ci_upper,taken_down_half_width,area_covered_min,area_covered_max,area_covered_mean,area_covered_var,area_covered_ci_lower,area_covered_ci_upper,area_covered_half_width,mean_distance_travelled_min,mean_distance_travelled_max,mean_distance_travelled_mean,mean_distance_travelled_var,mean_distance_travelled_ci_lower,mean_distance_travelled_ci_upper,mean_distance_travelled_half_width,total_distance_covered_min,total_distance_covered_max,total_distance_covered_mean,total_distance_covered_var,total_distance_covered_ci_lower,total_distance_covered_ci_upper,total_distance_covered_half_width,hider_frac_found_min,hider_frac_found_max,hider_frac_found_mean,hider_frac_found_var,hider_frac_found_ci_lower,hider_frac_found_ci_upper,hider_frac_found_half_width,found
T-divide_over_risks-W-20-HS-greedy-D-1-C-5-H-1-RUNS-100000.csv,divide_over_risks,20,greedy,1,5,1,100000,1.0,127.0,21.93834,120.84489804440001,21.87020500456246,22.00647499543754,0.0681349954375392,0.0,1.0,0.5828,0.24314415999999997,0.5797437562187286,0.5858562437812713,0.0030562437812713394,0.0,0.3075,0.05178352500000001,0.0007368668510743751,0.05161527674012528,0.05195177325987474,0.0001682482598747287,0.0,125.0,20.77274,122.26833289240001,20.704204897487532,20.841275102512466,0.06853510251246675,0.0,125.0,20.77274,122.26833289240001,20.704204897487532,20.841275102512466,0.06853510251246675,0.0,1.0,0.4172,0.24314415999999997,0.4141437562187286,0.4202562437812714,0.003056243781271395,41.72
T-divide_over_risks-W-20-HS-greedy-D-1-C-5-H-2-RUNS-100000.csv,divide_over_risks,20,greedy,1,5,2,100000,2.0,122.0,27.83946,199.0919669084,27.752005343172858,27.92691465682714,0.08745465682714126,0.0,1.0,0.70137,0.2094501231,0.698533411216089,0.7042065887839111,0.0028365887839110204,0.0,0.3,0.06557615,0.0012495953011775,0.06535705081449253,0.06579524918550747,0.00021909918550747087,0.0,120.0,26.43672,209.7689356416,26.34695094390823,26.526489056091773,0.08976905609177166,0.0,120.0,26.43672,209.7689356416,26.34695094390823,26.526489056091773,0.08976905609177166,0.0,1.0,0.386095,0.19329315097499997,0.38337001381877717,0.3888199861812229,0.002724986181222855,29.86
T-divide_over_risks-W-20-HS-greedy-D-1-C-5-H-3-RUNS-100000.csv,divide_over_risks,20,greedy,1,5,3,100000,2.0,130.0,31.77457,311.2261913151,31.665226205637627,31.883913794362375,0.10934379436237407,0.0,1.0,0.76248,0.1811042496,0.7598423304125358,0.7651176695874643,0.002637669587464253,0.0,0.3,0.0744911,0.0019233052707900004,0.07421928076726864,0.07476291923273137,0.00027181923273136843,0.0,128.0,30.24961,328.8104648479,30.13721968539239,30.36200031460761,0.11239031460760884,0.0,128.0,30.24961,328.8104648479,30.13721968539239,30.36200031460761,0.11239031460760884,0.0,1.0,0.35062666666666664,0.17066316284444444,0.348066159673153,0.35318717366018026,0.0025605069935136227,23.75
T-divide_over_risks-W-20-HS-greedy-D-1-C-5-H-4-RUNS-100000.csv,divide_over_risks,20,greedy,1,5,4,100000,2.0,142.0,34.49344,438.9540169664,34.36358293428626,34.623297065713736,0.12985706571373612,0.0,1.0,0.7911,0.16526079000000002,0.7885803455576925,0.7936196544423075,0.0025196544423075062,0.0,0.325,0.080495725,0.0026409394442243753,0.08017720603715897,0.08081424396284104,0.00031851896284103287,0.0,142.0,32.91124,462.1504216624,32.77799597349756,33.04448402650244,0.13324402650243883,0.0,142.0,32.91124,462.1504216624,32.77799597349756,33.04448402650244,0.13324402650243883,0.0,1.0,0.331275,0.15875562437500002,0.3288054340328734,0.3337445659671266,0.002469565967126608,20.89
T-divide_over_risks-W-20-HS-greedy-D-1-C-5-H-5-RUNS-100000.csv,divide_over_risks,20,greedy,1,5,5,100000,2.0,138.0,36.63528,570.9800393216001,36.4871760865116,36.7833839134884,0.14810391348839858,0.0,1.0,0.80564,0.15658419040000002,0.8031873813467222,0.8080926186532779,0.0024526186532778382,0.0,0.33,0.085172275,0.0033465556338243756,0.08481372056727186,0.08553082943272815,0.000358554432728142,0.0,138.0,35.024,598.707084,34.87234271748794,35.17565728251206,0.1516572825120619,0.0,138.0,35.024,598.707084,34.87234271748794,35.17565728251206,0.1516572825120619,0.0,1.0,0.317242,0.151716313436,0.3148278057458114,0.3196561942541887,0.0024141942541886507,19.44
T-divide_over_risks-W-20-HS-greedy-D-10-C-5-H-1-RUNS-100000.csv,divide_over_risks,20,greedy,10,5,1,100000,1.0,126.0,23.86265,214.3702249775,23.771901740717876,23.95339825928212,0.09074825928212249,0.0,10.0,3.93154,6.5188532284,3.9157150745460774,3.9473649254539227,0.015824925453922667,0.0,0.3825,0.13235487499999998,0.0043002848762343756,0.13194842728650485,0.1327613227134951,0.0004064477134951283,0.0,57.7,19.564621000000002,62.77787842635901,19.51551219246381,19.613729807536195,0.049108807536192955,0.0,577.0,195.64621,6277.787842635901,195.15512192463805,196.13729807536194,0.49108807536194377,0.0,1.0,0.94982,0.04766196760000001,0.9484668621107508,0.9511731378892492,0.0013531378892491785,94.98
T-divide_over_risks-W-20-HS-greedy-D-10-C-5-H-2-RUNS-100000.csv,divide_over_risks,20,greedy,10,5,2,100000,2.0,133.0,29.70917,209.24318791110002,29.61951350939953,29.798826490600472,0.08965649060047198,0.0,10.0,4.74555,6.6651051975,4.729548541276897,4.761551458723102,0.016001458723102324,0.0,0.38,0.16546485,0.0030256937894775,0.16512391737818657,0.16580578262181342,0.0003409326218134223,0.0,60.4,22.882153,44.802534584591,22.840666445930015,22.923639554069982,0.04148655406998358,0.0,604.0,228.82153,4480.253458459099,228.40666445930017,229.23639554069982,0.4148655406998216,0.0,1.0,0.955615,0.025262471775,0.9546298689855108,0.9566001310144892,0.00098513101448916,92.13
T-divide_over_risks-W-20-HS-greedy-D-10-C-5-H-3-RUNS-100000.csv,divide_over_risks,20,greedy,10,5,3,100000,2.0,141.0,32.70223,201.1576030271,32.61432283033854,32.79013716966146,0.08790716966146306,0.0,10.0,5.07668,6.599320177599999,5.060757704815489,5.09260229518451,0.015922295184510382,0.0,0.38,0.180122075,0.002544529910194375,0.17980942397884378,0.1804347260211562,0.0003126510211562128,0.0,77.0,24.382987000000004,39.237028057831004,24.34416265622101,24.421811343778998,0.038824343778994574,0.0,770.0,243.82987,3923.7028057831003,243.44162656221005,244.21811343778995,0.38824343778995285,0.0,1.0,0.96293,0.016533592877777777,0.9621330341889436,0.9637269658110563,0.0007969658110563715,91.12
T-divide_over_risks-W-20-HS-greedy-D-10-C-5-H-4-RUNS-100000.csv,divide_over_risks,20,greedy,10,5,4,100000,2.0,140.0,35.60568,208.21971173759997,35.51624304764745,35.69511695235255,0.08943695235254978,0.0,10.0,5.28602,6.6460125596,5.270041476335731,5.301998523664269,0.015978523664268884,0.0,0.395,0.19160485,0.0022841683314775,0.19130862608026689,0.1919010739197331,0.00029622391973310735,0.0,73.2,25.724780999999997,38.319524202039,25.68641326822256,25.763148731777434,0.0383677317774378,0.0,732.0,257.24781,3831.9524202038997,256.8641326822256,257.63148731777443,0.3836773177744135,0.0,1.0,0.96762,0.012434035599999999,0.9669288662129446,0.9683111337870555,0.0006911337870554313,90.5
T-divide_over_risks-W-20-HS-greedy-D-10-C-5-H-5-RUNS-100000.csv,divide_over_risks,20,greedy,10,5,5,100000,2.0,132.0,38.82666,218.36337324439998,38.73507044084309,38.918249559156905,0.09158955915690825,0.0,10.0,5.47955,6.689241797499999,5.463519594113286,5.495580405886713,0.01603040588671334,0.0,0.3925,0.20264970000000002,0.00220011546491,0.20235897739045616,0.20294042260954387,0.0002907226095438531,0.0,71.9,27.113581,41.235333656438996,27.073780289230648,27.153381710769352,0.03980071076935232,0.0,719.0,271.13581,4123.533365643901,270.73780289230643,271.53381710769355,0.39800710769355874,0.0,1.0,0.9693160000000001,0.011196892144,0.9686601495531725,0.9699718504468277,0.0006558504468275883,89.85
