	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	76.0	44.15802	94.5533896796	44.09775091158868	44.21828908841132	0.060269088411317284
taken_down	0.0	10.0	7.30537	4.4444791631	7.292303282297009	7.3184367177029905	0.013066717702990616
area_covered	0.0	0.185	0.1057144	0.00060208538264	0.10556231544437551	0.10586648455562449	0.00015208455562448764
mean_distance_travelled	0.0	65.0	26.562620999999996	81.850843310359	26.506546210685986	26.618695789314007	0.05607478931401033
total_distance_covered	0.0	650.0	265.62621	8185.0843310359005	265.0654621068599	266.1869578931401	0.5607478931401033
hider_frac_found	0.0	1.0	0.74922	0.01946379160000001	0.7483552913680865	0.7500847086319135	0.0008647086319134578
all_found	NA	NA	0.00464	NA	0.004228212863511115	0.0050809098791536654	NA
