	min	max	mean	var	ci_lower	ci_upper	Half_width
find_steps	2.0	4069.0	437.59	359798.54189999995	320.02290942772123	555.1570905722788	117.5670905722788
taken_down	0.0	1.0	0.78	0.17160000000000003	0.6988077245053448	0.8611922754946553	0.08119227549465524
area_covered	0.005	0.975	0.266025	0.050007511874999994	0.22219477554027361	0.3098552244597264	0.0438302244597264
mean_distance_travelled	2.0	4068.0	436.81	359699.77390000003	319.2590471576585	554.3609528423415	117.55095284234147
total_distance_covered	2.0	4068.0	436.81	359699.77390000003	319.2590471576585	554.3609528423415	117.55095284234147
hider_frac_found	0.0	1.0	0.22	0.17160000000000003	0.13880772450534473	0.30119227549465527	0.08119227549465527
Found	22.00%
