	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	69.0	21.99084	155.3988960944	21.913575493320913	22.068104506679084	0.0772645066790858
taken_down	0.0	1.0	0.63177	0.23263666709999997	0.628780523423187	0.6347594765768131	0.0029894765768130327
area_covered	0.0	0.1725	0.05133649999999999	0.00096434614275	0.051144025790247405	0.05152897420975258	0.00019247420975258833
mean_distance_travelled	0.0	69.0	20.7273	158.98933470999998	20.64914800525758	20.80545199474242	0.07815199474242007
total_distance_covered	0.0	69.0	20.7273	158.98933470999998	20.64914800525758	20.80545199474242	0.07815199474242007
hider_frac_found	0.0	1.0	0.36823	0.23263666709999997	0.365240523423187	0.371219476576813	0.002989476576812977
all_found	NA	NA	0.36823	NA	0.36523943546552967	0.3712282089961053	NA
