	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	130.0	31.77457	311.2261913151	31.665226205637627	31.883913794362375	0.10934379436237407
taken_down	0.0	1.0	0.76248	0.1811042496	0.7598423304125358	0.7651176695874643	0.002637669587464253
area_covered	0.0	0.3	0.0744911	0.0019233052707900004	0.07421928076726864	0.07476291923273137	0.00027181923273136843
mean_distance_travelled	0.0	128.0	30.24961	328.8104648479	30.13721968539239	30.36200031460761	0.11239031460760884
total_distance_covered	0.0	128.0	30.24961	328.8104648479	30.13721968539239	30.36200031460761	0.11239031460760884
hider_frac_found	0.0	1.0	0.35062666666666664	0.17066316284444444	0.348066159673153	0.35318717366018026	0.0025605069935136227
all_found	NA	NA	0.23752	NA	0.23488502039646056	0.2401702115223762	NA
