146. Steps: 39, Found: True, Taken down:3 
147. Steps: 58, Found: True, Taken down:3 
148. Steps: 20, Found: True, Taken down:2 
149. Steps: 35, Found: True, Taken down:4 
150. Steps: 49, Found: True, Taken down:4 
151. Steps: 21, Found: True, Taken down:2 
152. Steps: 6, Found: True, Taken down:2 
153. Steps: 18, Found: True, Taken down:4 
154. Steps: 47, Found: False, Taken down:5 
155. Steps: 13, Found: True, Taken down:0 
156. Steps: 38, Found: True, Taken down:3 
157. Steps: 35, Found: True, Taken down:4 
158. Steps: 16, Found: True, Taken down:4 
159. Steps: 14, Found: True, Taken down:1 
160. Steps: 25, Found: True, Taken down:3 
161. Steps: 44, Found: False, Taken down:5 
162. Steps: 45, Found: True, Taken down:4 
163. Steps: 27, Found: True, Taken down:3 
164. Steps: 20, Found: True, Taken down:3 
165. Steps: 15, Found: True, Taken down:2 
166. Steps: 13, Found: True, Taken down:1 
167. Steps: 39, Found: True, Taken down:4 
168. Steps: 42, Found: False, Taken down:5 
169. Steps: 4, Found: True, Taken down:1 
170. Steps: 19, Found: True, Taken down:1 
171. Steps: 28, Found: True, Taken down:3 
172. Steps: 5, Found: True, Taken down:2 
173. Steps: 49, Found: True, Taken down:3 
174. Steps: 18, Found: True, Taken down:3 
175. Steps: 41, Found: True, Taken down:3 
176. Steps: 39, Found: True, Taken down:3 
177. Steps: 30, Found: True, Taken down:3 
178. Steps: 11, Found: True, Taken down:2 
179. Steps: 10, Found: True, Taken down:0 
180. Steps: 15, Found: True, Taken down:4 
181. Steps: 10, Found: True, Taken down:4 
182. Steps: 24, Found: True, Taken down:4 
183. Steps: 38, Found: False, Taken down:5 
184. Steps: 36, Found: True, Taken down:4 
185. Steps: 1, Found: True, Taken down:1 
186. Steps: 37, Found: False, Taken down:5 
187. Steps: 22, Found: True, Taken down:2 
188. Steps: 5, Found: True, Taken down:1 
189. Steps: 12, Found: True, Taken down:1 
190. Steps: 52, Found: True, Taken down:3 
191. Steps: 5, Found: True, Taken down:1 
192. Steps: 14, Found: True, Taken down:3 
193. Steps: 25, Found: True, Taken down:1 
194. Steps: 49, Found: True, Taken down:4 
195. Steps: 3, Found: True, Taken down:1 
196. Steps: 8, Found: True, Taken down:3 
197. Steps: 39, Found: False, Taken down:5 
198. Steps: 20, Found: False, Taken down:5 
199. Steps: 12, Found: True, Taken down:1 
200. Steps: 35, Found: True, Taken down:3 
201. Steps: 2, Found: True, Taken down:0 
202. Steps: 34, Found: True, Taken down:4 
203. Steps: 24, Found: True, Taken down:4 
204. Steps: 22, Found: False, Taken down:5 
205. Steps: 18, Found: True, Taken down:2 
206. Steps: 26, Found: True, Taken down:3 
207. Steps: 51, Found: True, Taken down:4 
208. Steps: 57, Found: True, Taken down:3 
209. Steps: 45, Found: True, Taken down:3 
210. Steps: 35, Found: False, Taken down:5 
211. Steps: 25, Found: True, Taken down:4 
212. Steps: 22, Found: True, Taken down:2 
213. Steps: 29, Found: True, Taken down:4 
214. Steps: 10, Found: True, Taken down:1 
215. Steps: 22, Found: True, Taken down:4 
216. Steps: 19, Found: True, Taken down:4 
217. Steps: 36, Found: False, Taken down:5 
218. Steps: 11, Found: True, Taken down:1 
219. Steps: 17, Found: True, Taken down:3 
220. Steps: 27, Found: True, Taken down:3 
221. Steps: 14, Found: True, Taken down:4 
222. Steps: 25, Found: True, Taken down:1 
