146. Steps: 15, Found: True, Taken down:1 
147. Steps: 8, Found: True, Taken down:0 
148. Steps: 7, Found: True, Taken down:0 
149. Steps: 22, Found: True, Taken down:0 
150. Steps: 19, Found: True, Taken down:1 
151. Steps: 11, Found: True, Taken down:0 
152. Steps: 6, Found: True, Taken down:0 
153. Steps: 6, Found: True, Taken down:0 
154. Steps: 9, Found: True, Taken down:0 
155. Steps: 6, Found: True, Taken down:0 
156. Steps: 7, Found: True, Taken down:0 
157. Steps: 10, Found: True, Taken down:0 
158. Steps: 17, Found: True, Taken down:1 
159. Steps: 10, Found: True, Taken down:1 
160. Steps: 14, Found: True, Taken down:0 
161. Steps: 21, Found: True, Taken down:0 
162. Steps: 16, Found: True, Taken down:0 
163. Steps: 8, Found: False, Taken down:2 
164. Steps: 20, Found: True, Taken down:1 
165. Steps: 25, Found: True, Taken down:1 
166. Steps: 10, Found: True, Taken down:1 
167. Steps: 12, Found: True, Taken down:1 
168. Steps: 16, Found: True, Taken down:0 
169. Steps: 1, Found: True, Taken down:1 
170. Steps: 11, Found: True, Taken down:0 
171. Steps: 2, Found: True, Taken down:0 
172. Steps: 9, Found: True, Taken down:0 
173. Steps: 9, Found: True, Taken down:1 
174. Steps: 3, Found: True, Taken down:0 
175. Steps: 14, Found: True, Taken down:1 
176. Steps: 6, Found: True, Taken down:1 
177. Steps: 12, Found: True, Taken down:1 
178. Steps: 10, Found: True, Taken down:1 
179. Steps: 3, Found: True, Taken down:0 
180. Steps: 12, Found: True, Taken down:0 
181. Steps: 7, Found: True, Taken down:1 
182. Steps: 21, Found: True, Taken down:0 
183. Steps: 11, Found: True, Taken down:1 
184. Steps: 16, Found: True, Taken down:0 
185. Steps: 9, Found: True, Taken down:0 
186. Steps: 6, Found: True, Taken down:0 
187. Steps: 23, Found: True, Taken down:0 
188. Steps: 8, Found: True, Taken down:1 
189. Steps: 22, Found: True, Taken down:0 
190. Steps: 18, Found: True, Taken down:1 
191. Steps: 12, Found: True, Taken down:1 
192. Steps: 3, Found: True, Taken down:0 
193. Steps: 4, Found: False, Taken down:2 
194. Steps: 3, Found: True, Taken down:0 
195. Steps: 11, Found: True, Taken down:0 
196. Steps: 23, Found: True, Taken down:1 
197. Steps: 10, Found: True, Taken down:0 
198. Steps: 3, Found: True, Taken down:0 
199. Steps: 16, Found: True, Taken down:0 
200. Steps: 23, Found: True, Taken down:0 
201. Steps: 10, Found: True, Taken down:0 
202. Steps: 8, Found: True, Taken down:0 
203. Steps: 13, Found: True, Taken down:1 
204. Steps: 8, Found: True, Taken down:0 
205. Steps: 15, Found: True, Taken down:0 
206. Steps: 16, Found: True, Taken down:0 
207. Steps: 9, Found: True, Taken down:1 
208. Steps: 9, Found: True, Taken down:1 
209. Steps: 10, Found: False, Taken down:2 
210. Steps: 9, Found: True, Taken down:1 
211. Steps: 22, Found: True, Taken down:0 
212. Steps: 6, Found: True, Taken down:0 
213. Steps: 24, Found: True, Taken down:1 
214. Steps: 11, Found: False, Taken down:2 
215. Steps: 20, Found: True, Taken down:0 
216. Steps: 6, Found: True, Taken down:0 
217. Steps: 17, Found: True, Taken down:0 
218. Steps: 6, Found: True, Taken down:0 
219. Steps: 4, Found: True, Taken down:0 
220. Steps: 18, Found: False, Taken down:2 
221. Steps: 13, Found: True, Taken down:0 
222. Steps: 7, Found: True, Taken down:0 
223. Steps: 1, Found: True, Taken down:0 
224. Steps: 9, Found: True, Taken down:0 
225. Steps: 8, Found: True, Taken down:0 
226. Steps: 24, Found: True, Taken down:0 
227. Steps: 15, Found: True, Taken down:0 
228. Steps: 12, Found: True, Taken down:1 
229. Steps: 2, Found: True, Taken down:1 
230. Steps: 9, Found: True, Taken down:0 
231. Steps: 26, Found: True, Taken down:1 
232. Steps: 20, Found: True, Taken down:0 
233. Steps: 11, Found: True, Taken down:1 
234. Steps: 2, Found: True, Taken down:0 
235. Steps: 20, Found: True, Taken down:1 
236. Steps: 16, Found: True, Taken down:0 
237. Steps: 14, Found: True, Taken down:1 
238. Steps: 8, Found: True, Taken down:0 
239. Steps: 17, Found: False, Taken down:2 
240. Steps: 11, Found: True, Taken down:0 
241. Steps: 10, Found: True, Taken down:1 
242. Steps: 2, Found: True, Taken down:0 
243. Steps: 7, Found: True, Taken down:0 
244. Steps: 20, Found: True, Taken down:0 
245. Steps: 20, Found: True, Taken down:1 
246. Steps: 11, Found: True, Taken down:0 
247. Steps: 15, Found: False, Taken down:2 
248. Steps: 17, Found: True, Taken down:1 
249. Steps: 10, Found: True, Taken down:1 
250. Steps: 10, Found: True, Taken down:0 
251. Steps: 8, Found: True, Taken down:0 
252. Steps: 15, Found: True, Taken down:1 
253. Steps: 7, Found: True, Taken down:0 
254. Steps: 16, Found: True, Taken down:0 
255. Steps: 21, Found: True, Taken down:0 
256. Steps: 9, Found: True, Taken down:0 
257. Steps: 5, Found: True, Taken down:0 
258. Steps: 7, Found: True, Taken down:0 
259. Steps: 13, Found: False, Taken down:2 
260. Steps: 13, Found: True, Taken down:1 
261. Steps: 19, Found: True, Taken down:0 
262. Steps: 9, Found: True, Taken down:1 
263. Steps: 9, Found: False, Taken down:2 
264. Steps: 16, Found: True, Taken down:0 
265. Steps: 17, Found: True, Taken down:0 
266. Steps: 12, Found: True, Taken down:0 
267. Steps: 15, Found: True, Taken down:0 
268. Steps: 3, Found: True, Taken down:0 
269. Steps: 4, Found: True, Taken down:0 
270. Steps: 4, Found: True, Taken down:0 
271. Steps: 9, Found: True, Taken down:0 
272. Steps: 12, Found: True, Taken down:1 
273. Steps: 9, Found: True, Taken down:0 
274. Steps: 8, Found: True, Taken down:0 
275. Steps: 16, Found: False, Taken down:2 
276. Steps: 15, Found: True, Taken down:1 
277. Steps: 19, Found: True, Taken down:0 
278. Steps: 6, Found: True, Taken down:0 
279. Steps: 15, Found: True, Taken down:0 
280. Steps: 11, Found: True, Taken down:0 
281. Steps: 8, Found: True, Taken down:0 
282. Steps: 0, Found: True, Taken down:0 
283. Steps: 11, Found: True, Taken down:1 
284. Steps: 6, Found: True, Taken down:0 
285. Steps: 6, Found: True, Taken down:0 
286. Steps: 16, Found: True, Taken down:0 
287. Steps: 10, Found: True, Taken down:0 
288. Steps: 13, Found: True, Taken down:0 
289. Steps: 10, Found: True, Taken down:0 
290. Steps: 4, Found: True, Taken down:0 
291. Steps: 14, Found: True, Taken down:0 
292. Steps: 19, Found: True, Taken down:0 
293. Steps: 10, Found: True, Taken down:0 
294. Steps: 21, Found: True, Taken down:1 
295. Steps: 18, Found: True, Taken down:0 
296. Steps: 7, Found: True, Taken down:0 
297. Steps: 9, Found: True, Taken down:1 
298. Steps: 12, Found: True, Taken down:1 
299. Steps: 20, Found: True, Taken down:0 
300. Steps: 25, Found: True, Taken down:1 
301. Steps: 12, Found: True, Taken down:0 
302. Steps: 8, Found: True, Taken down:0 
303. Steps: 15, Found: True, Taken down:1 
304. Steps: 20, Found: True, Taken down:0 
305. Steps: 4, Found: True, Taken down:0 
306. Steps: 14, Found: True, Taken down:0 
307. Steps: 3, Found: True, Taken down:0 
308. Steps: 8, Found: True, Taken down:0 
309. Steps: 5, Found: True, Taken down:0 
310. Steps: 15, Found: True, Taken down:0 
311. Steps: 11, Found: True, Taken down:0 
312. Steps: 6, Found: True, Taken down:1 
313. Steps: 15, Found: True, Taken down:1 
314. Steps: 3, Found: True, Taken down:0 
315. Steps: 12, Found: True, Taken down:1 
316. Steps: 1, Found: True, Taken down:0 
317. Steps: 16, Found: True, Taken down:1 
318. Steps: 17, Found: True, Taken down:0 
