	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	135.0	38.18071	403.62033389589993	38.056189002786894	38.3052309972131	0.12452099721310361
taken_down	0.0	2.0	1.93557	0.0817187751	1.9337981906241806	1.9373418093758195	0.0017718093758194442
area_covered	0.0	0.34	0.10976744999999999	0.0028953919204975	0.1094339393164862	0.11010096068351377	0.00033351068351378244
mean_distance_travelled	0.0	98.0	26.566385	155.681150531775	26.48905035654166	26.64371964345834	0.07733464345833951
total_distance_covered	0.0	196.0	53.13277	622.7246021271	52.97810071308332	53.28743928691668	0.15466928691667903
hider_frac_found	0.0	1.0	0.2815333333333333	0.09555231555555554	0.279617416384616	0.2834492502820506	0.001915916948717289
all_found	NA	NA	0.05371	NA	0.05232066556147809	0.05512529051433347	NA
