	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	115.0	20.45219	82.8401342039	20.395777354293767	20.508602645706237	0.056412645706235054
taken_down	0.0	1.0	0.91303	0.0794062191	0.9112834407216056	0.9147765592783944	0.0017465592783943995
area_covered	0.0	0.2625	0.046529925	0.0005146342669943751	0.046389318492323944	0.046670531507676055	0.00014060650767605543
mean_distance_travelled	0.0	115.0	18.62613	83.35549122309999	18.56954215191557	18.68271784808443	0.05658784808442974
total_distance_covered	0.0	115.0	18.62613	83.35549122309999	18.56954215191557	18.68271784808443	0.05658784808442974
hider_frac_found	0.0	1.0	0.08697	0.0794062191	0.08522344072160559	0.08871655927839442	0.0017465592783944134
all_found	NA	NA	0.08697	NA	0.085230469277186	0.0887335297849097	NA
