	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	137.0	30.34165	247.92548527749997	30.244057451911427	30.439242548088576	0.0975925480885742
taken_down	0.0	1.0	0.97723	0.022251527099999995	0.9763054381226367	0.9781545618773634	0.0009245618773633391
area_covered	0.0	0.28	0.0677061	0.00122545527279	0.06748912744468598	0.06792307255531403	0.0002169725553140267
mean_distance_travelled	0.0	137.0	28.38719	250.92869390389998	28.289008144726164	28.485371855273836	0.09818185527383605
total_distance_covered	0.0	137.0	28.38719	250.92869390389998	28.289008144726164	28.485371855273836	0.09818185527383605
hider_frac_found	0.0	1.0	0.14682	0.055821665377777774	0.1453556076013743	0.1482843923986257	0.0014643923986256968
all_found	NA	NA	0.02277	NA	0.02185431617420695	0.023713506108791412	NA
