	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	2.0	1.99838	0.0016173756	1.9981307348779922	1.998629265122008	0.0002492651220078468
taken_down	0.0	5.0	0.04771	0.12409375589999999	0.04552661141189792	0.049893388588102085	0.0021833885881020823
area_covered	0.0	0.0075	0.006827825000000002	1.3167432693749997e-06	0.006820712756371138	0.0068349372436288655	7.1122436288637014e-06
mean_distance_travelled	0.0	1.6	1.586104	0.012060501184000004	1.5854233266469997	1.5867846733530002	0.0006806733530002607
total_distance_covered	0.0	8.0	7.93052	0.3015125296000001	7.9271166332349985	7.933923366765001	0.0034033667650010813
hider_frac_found	0.0	1.0	0.99838	0.0016173756	0.9981307348779922	0.9986292651220079	0.0002492651220078468
all_found	NA	NA	0.99838	NA	0.9981106904895288	0.9986197017358007	NA
