	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	81.0	27.73525	178.1410574375	27.652524750755777	27.817975249244224	0.08272524924422342
taken_down	3.0	10.0	9.28913	0.7868938431000002	9.28363188087829	9.294628119121711	0.005498119121710943
area_covered	0.0	0.1975	0.065742175	0.001042665238769375	0.06554203747774952	0.06594231252225048	0.00020013752225048198
mean_distance_travelled	0.0	52.9	17.864838	54.58252923375601	17.819046707781457	17.91062929221854	0.04579129221854217
total_distance_covered	0.0	529.0	178.64838	5458.2529233755995	178.1904670778146	179.10629292218542	0.4579129221854146
hider_frac_found	0.0	1.0	0.42016	0.24362557440000002	0.41710073210291243	0.4232192678970875	0.0030592678970875475
all_found	NA	NA	0.42016	NA	0.4170981407591984	0.4232264908187842	NA
