	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	151.0	57.86711	404.38529024790006	57.74247106021726	57.99174893978273	0.12463893978273433
taken_down	0.0	4.0	3.43957	0.5107882151	3.4351402776530255	3.443999722346974	0.004429722346974252
area_covered	0.0	0.3225	0.12630662499999998	0.001816261793609375	0.12604247823575082	0.12657077176424913	0.00026414676424915684
mean_distance_travelled	0.0	119.0	37.5193175	200.51907245919372	37.431549962222114	37.607085037777885	0.0877675377778857
total_distance_covered	0.0	476.0	150.07727	3208.3051593470996	149.72619984888846	150.42834015111154	0.3510701511115428
hider_frac_found	0.0	1.0	0.6875633333333334	0.10820666265555555	0.6855244936749552	0.6896021729917117	0.0020388396583782553
all_found	NA	NA	0.443	NA	0.4399179182625247	0.4460853883046263	NA
