	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	2.0	155.0	48.07129	316.58332773589996	47.96100915343858	48.181570846561414	0.11028084656141601
taken_down	0.0	4.0	3.06106	1.2076316764	3.0542488049153924	3.0678711950846074	0.00681119508460748
area_covered	0.0	0.395	0.1597299	0.0029535992959899998	0.1593930536395406	0.16006674636045942	0.0003368463604594141
mean_distance_travelled	0.0	89.5	30.95325	107.31193068750001	30.889043340459956	31.017456659540045	0.06420665954004434
total_distance_covered	0.0	358.0	123.813	1716.9908910000001	123.55617336183983	124.06982663816018	0.25682663816017737
hider_frac_found	0.0	1.0	0.7435333333333334	0.09711818222222222	0.7416017816026648	0.745464885064002	0.0019315517306686125
all_found	NA	NA	0.51931	NA	0.5162078142846043	0.5224110655571547	NA
