	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	3.0	4001.0	741.02565	252641.3354920775	737.9102897408544	744.1410102591457	3.115360259145632
taken_down	0.0	10.0	8.05275	6.7745674375	8.036617678943221	8.068882321056778	0.01613232105677831
area_covered	0.005	1.0	0.7566929250000001	0.035740549192444376	0.7555211703593961	0.757864679640604	0.001171754640603928
mean_distance_travelled	0.4	1511.4	299.333746	24926.212330607483	298.3551933070434	300.31229869295663	0.9785526929566117
total_distance_covered	4.0	15114.0	2993.33746	2492621.2330607483	2983.551933070434	3003.122986929566	9.785526929566004
hider_frac_found	0.0	1.0	0.7750966666666665	0.06066404621111111	0.7735700789688102	0.7766232543645228	0.0015265876978562964
all_found	NA	NA	0.47615	NA	0.4730502817052244	0.4792511018163273	NA
