	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	4001.0	768.2928	234312.93028816	765.2925724203071	771.293027579693	3.0002275796929325
taken_down	0.0	5.0	4.74974	0.5642099324000001	4.745084391687107	4.754395608312893	0.004655608312893023
area_covered	0.0	1.0	0.6412684	0.04629989341144001	0.639934737109576	0.6426020628904239	0.0013336628904239145
mean_distance_travelled	0.0	2050.8	350.2516959999999	40729.69527312359	349.00082751226336	351.5025644877365	1.2508684877365681
total_distance_covered	0.0	10254.0	1751.25848	1018242.3818280896	1745.0041375613173	1757.5128224386826	6.25434243868267
hider_frac_found	0.0	1.0	0.582025	0.06318814937499999	0.580466976910829	0.583583023089171	0.0015580230891709679
all_found	NA	NA	0.12793	NA	0.12586562284742026	0.13001598348135818	NA
