	min	max	mean	var	ci_lower	ci_upper	Half_width
steps	1.0	4001.0	400.93046	195760.5314041884	398.18813679249445	403.6727832075055	2.7423232075055353
taken_down	0.0	10.0	4.86161	13.9822982079	4.838433633417753	4.884786366582246	0.023176366582246644
area_covered	0.0025	1.0	0.538547	0.082337877166	0.5367684916673771	0.5403255083326229	0.0017785083326229412
mean_distance_travelled	0.3	1482.0	193.548135	23424.441890921775	192.59951844960588	194.49675155039412	0.9486165503941208
total_distance_covered	3.0	14820.0	1935.48135	2342444.189092178	1925.9951844960588	1944.9675155039413	9.486165503941265
hider_frac_found	0.0	1.0	0.77939	0.17194122790000002	0.776819923306396	0.781960076693604	0.0025700766936039843
all_found	NA	NA	0.77939	NA	0.7768068870674947	0.7819568986459672	NA
